Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved FSM 6,2.8472803347280333,0.7916652719665273,41.0,1.0,0.7332217573221758,0.05844351464435146,0.10952301255230125,0.09881171548117154,0.9475707997367139,0.37366165982164556,0.7628184512203183,0.207802820400301
1,Evolved FSM 16,2.839665271966527,0.7582761506276151,60.0,1.0,0.6682008368200837,0.09007531380753138,0.14739748953974896,0.09432635983263599,0.8691927701856363,0.5644150299986062,0.595619934486434,0.3843809527774975
2,EvolvedLookerUp2_2_2,2.828117154811715,0.7700251046025105,49.0,1.0,0.6910460251046024,0.07897907949790796,0.13193305439330544,0.09804184100418409,0.8760302901902774,0.47927708571689337,0.6066693069712983,0.8865243410170525
3,Evolved FSM 16 Noise 05,2.825690376569038,0.7547280334728034,41.0,1.0,0.7197154811715482,0.03501255230125523,0.10465271966527197,0.14061924686192467,0.9826962412431116,0.5604225774620002,0.45817492469947446,0.11596034318531993
4,Evolved HMM 5,2.8240167364016733,0.7642845188284518,44.0,1.0,0.7109288702928871,0.053355648535564855,0.11399163179916318,0.12172384937238494,0.9990507913803368,0.4919257094771764,0.06341352931364061,0.21285833253218936
5,Evolved ANN 5,2.823682008368201,0.7653723849372385,39.0,1.0,0.7311464435146443,0.03422594142259414,0.09884518828451883,0.13578242677824268,1.0,0.7218756559361502,0,0.40667841828220824
6,PSO Gambler 2_2_2,2.803430962343096,0.7349121338912133,44.0,1.0,0.6622594142259415,0.07265271966527197,0.1390794979079498,0.12600836820083683,0.9128186692299276,0.4665882696725891,0.5058850394363572,0.41380750467651917
7,Evolved ANN,2.7896234309623433,0.7986443514644351,32.0,1.0,0.7555648535564854,0.043079497907949786,0.08040167364016737,0.1209539748953975,0.9823945482370611,0.8428774861782047,0.6075469062981297,0.3411235032602773
8,Evolved FSM 4,2.784686192468619,0.7979246861924686,38.0,1.0,0.6988451882845188,0.09907949790794979,0.1218744769874477,0.08020083682008368,0.9451063777965661,0.44374361782980665,0,0.8081771363752159
9,Winner12,2.7830962343096233,0.7212887029288703,46.0,1.0,0.676652719665272,0.04463598326359833,0.11743933054393306,0.16127196652719664,1.0,0.4591099992324392,0,0.48884182760407907
10,"Omega TFT: 3, 8",2.782175732217573,0.7649874476987447,35.0,1.0,0.7378577405857741,0.027129707112970712,0.08379916317991631,0.15121338912133891,0.9996635610766046,0.22621583393162675,0.6682567573931413,0.050479798087620396
11,Fool Me Once,2.7798326359832637,0.6905941422594142,58.0,1.0,0.6730376569037657,0.017556485355648535,0.11246861924686193,0.19693723849372385,1.0,0.5854228121927237,0,0
12,PSO Gambler 1_1_1,2.7764853556485356,0.7158661087866108,53.0,1.0,0.6748117154811716,0.04105439330543933,0.11648535564853556,0.16764853556485354,1.0,0.3213333918517832,0,0.13404308943225132
13,PSO Gambler Mem1,2.7757322175732217,0.7461087866108786,45.0,1.0,0.6975062761506277,0.04860251046025105,0.107163179916318,0.14672803347280333,1.0,0.5206691954529427,0,0.12724450762853573
14,"DoubleCrosser: (D, D)",2.7752301255230125,0.7201004184100418,177.0,1.0,0.6876820083682008,0.032418410041841005,0.10821757322175733,0.17168200836820086,0.9850039229853425,0.8034196412204124,0.36396583854330333,0
15,"BackStabber: (D, D)",2.7744769874476987,0.7118995815899581,184.0,1.0,0.681623430962343,0.030276150627615062,0.1104100418410042,0.17769037656903766,0.9853726958590215,0.8061188339847413,0,0
16,PSO Gambler 2_2_2 Noise 05,2.7726359832635983,0.7564016736401674,40.0,1.0,0.6935230125523013,0.0628786610878661,0.11228451882845188,0.13131380753138075,0.8732536461989661,0.5133119232931986,0.7387558485309937,0.3898628771004232
17,"EugineNier: (D,)",2.7661924686192467,0.7062259414225941,196.0,1.0,0.6819414225941423,0.024284518828451885,0.10677824267782426,0.18699581589958159,0.9853909617199601,0,0.5655776138235473,0
18,"DBS: 0.75, 3, 4, 3, 5",2.7633472803347283,0.788418410041841,28.0,1.0,0.7413556485355648,0.04706276150627615,0.08215899581589958,0.1294225941422594,0.988214574180618,0.8132530927863552,0.40301647049587863,0.21215744651277282
19,Spiteful Tit For Tat,2.7633472803347283,0.7089539748953975,46.0,1.0,0.66436820083682,0.04458577405857741,0.11964853556485355,0.17139748953974895,1.0,0,0.7573351892840575,0
20,MEM2,2.7612552301255233,0.6479330543933054,69.0,1.0,0.6354811715481171,0.012451882845188285,0.1256234309623431,0.22644351464435145,0.9970422517191836,0.2972342472342472,0.34442235393998655,0
21,"Michaelos: (D,)",2.752384937238494,0.6527029288702929,199.0,1.0,0.6381757322175732,0.014527196652719666,0.12296234309623431,0.2243347280334728,0.9854300544639063,0,0.21148442143778418,0
22,EvolvedLookerUp1_1_1,2.745439330543933,0.6663430962343097,64.0,1.0,0.6230962343096234,0.04324686192468619,0.13618410041841006,0.19747280334728032,0.9820461161291612,0,0.924452596905577,0
23,Second by GraaskampKatzen,2.735481171548117,0.7368200836820084,43.0,1.0,0.7025774058577405,0.034242677824267785,0.09104602510460252,0.17213389121338912,0.9944371962571,0,0.6521540776511204,0
24,AON2,2.73347280334728,0.7088200836820083,49.0,1.0,0.6335564853556485,0.07526359832635983,0.13548117154811717,0.1556987447698745,0.9948688857205671,0.22961964174304111,0,0.4652141044686061
25,Second by Borufsen,2.733221757322176,0.8396485355648535,17.0,1.0,0.7775899581589958,0.06205857740585775,0.059481171548117155,0.1008702928870293,0.9991681653493605,0.1956006682744901,0.8616926462979347,0.22413552357233613
26,"First by Stein and Rapoport: 0.05: (D, D)",2.7317154811715483,0.7547112970711297,186.0,1.0,0.7122845188284519,0.04242677824267783,0.08706276150627615,0.15822594142259416,0.9789322084220144,0.4549576143306382,0.5760016145821362,0
27,Gradual,2.731213389121339,0.8081338912133891,36.0,1.0,0.7592468619246863,0.04888702928870293,0.06564016736401673,0.12622594142259413,1.0,0.37888797853861905,0.46998077448772074,0.25299100737202646
28,NMWE Finite Memory: 81 players,2.7311297071129705,0.6384100418410041,63.0,1.0,0.6100083682008368,0.028401673640167366,0.13385774058577407,0.22773221757322173,0.8774536974032865,0.29210981747471704,0.13630531802292753,0.14791917457015932
29,Forgetful Fool Me Once: 0.05,2.7297907949790794,0.7689372384937239,44.0,1.0,0.7283682008368202,0.04056903765690376,0.07824267782426778,0.15282008368200836,1.0,0.6550430819314667,0.0653929911793719,0.06283701762596917
30,Revised Downing,2.7297907949790794,0.8096903765690376,24.0,1.0,0.748970711297071,0.06071966527196653,0.07283682008368202,0.11747280334728033,0.9811692065100712,0.7783126423181551,0.5387484188308777,0.2374778109305402
31,NMWE Deterministic: 149 players,2.72928870292887,0.630142259414226,65.0,1.0,0.6098912133891213,0.0202510460251046,0.13355648535564854,0.23630125523012552,0.9037746480399104,0.3123297054321185,0.10865620959124338,0.07323938551937116
32,Original Gradual,2.7274476987447698,0.8466443514644352,29.0,1.0,0.7811213389121339,0.06552301255230125,0.05740585774058578,0.09594979079497908,1.0,0.37230931325115213,0.5381897156683638,0.3861852644525819
33,Grudger,2.7269456066945605,0.6053221757322176,77.0,1.0,0.5957322175732217,0.009589958158995817,0.13643514644351462,0.2582426778242678,1.0,0,0,0
34,Nice Meta Winner Ensemble: 217 players,2.7246861924686194,0.6280334728033473,68.0,1.0,0.6056569037656904,0.022376569037656904,0.13288702928870294,0.2390794979079498,0.8895905868142684,0.3140206336494594,0.11507450381484181,0.08393457724000147
35,NMWE Long Memory: 136 players,2.7231799163179917,0.6301087866108787,69.0,1.0,0.6115648535564854,0.018543933054393308,0.1304100418410042,0.23948117154811718,0.9098782166198127,0.32036390006309795,0.10751125484061165,0.05254507764021175
36,TF3,2.7205857740585775,0.6359330543933054,69.0,1.0,0.6168200836820084,0.019112970711297073,0.1259916317991632,0.2380753138075314,0.9409728882089351,0.614325595741525,0.39957253494506834,0.04233765631009231
37,NMWE Memory One: 37 players,2.7199163179916317,0.6233472803347281,72.0,1.0,0.604602510460251,0.018744769874476985,0.13273640167364018,0.2439163179916318,0.897961719531758,0.37428486564585406,0.18219704868124154,0.05068325138928818
38,NMWE Stochastic: 68 players,2.717154811715481,0.6445523012552301,62.0,1.0,0.6132217573221758,0.03133054393305439,0.1302928870292887,0.22515481171548116,0.8561638185673075,0.2977310365889177,0.14012957702410686,0.13850454967860887
39,Second by Weiner,2.713305439330544,0.7958661087866109,32.0,1.0,0.7600167364016737,0.03584937238493724,0.057656903765690375,0.14647698744769874,0.9996521739130435,0.25617517629850856,0.7336166409593201,0.009462759462759464
40,SpitefulCC,2.708870292887029,0.6173221757322176,70.0,1.0,0.6064100418410042,0.01091213389121339,0.12630962343096236,0.2563682008368201,0.9952679019053372,0.6978088336783991,0,0
41,Meta Hunter: 6 players,2.705020920502092,0.7386108786610879,50.0,1.0,0.6593640167364017,0.0792468619246862,0.11643514644351464,0.1449539748953975,0.9187424705460197,0.7635736351446483,0.14923780704343456,0.24250870169946964
42,Tricky Level Punisher,2.7019246861924686,0.6361004184100418,71.0,1.0,0.624652719665272,0.011447698744769875,0.11556485355648535,0.24833472803347278,1.0,0.5609047619047619,0.05852426688416206,0
43,CAPRI,2.6969037656903763,0.7057071129707113,42.0,1.0,0.6763012552301255,0.029405857740585777,0.0940418410041841,0.2002510460251046,1.0,0,0.6656621812315225,0
44,Second by Grofman,2.6951464435146444,0.7841338912133892,39.0,1.0,0.7504769874476988,0.03365690376569038,0.05718828451882845,0.15867782426778243,0.9880739925116759,0.6951135342231153,0.4238743382108396,0.016416338263696637
45,Second by Tideman and Chieruzzi,2.690543933054393,0.772836820083682,38.0,1.0,0.7283012552301255,0.04453556485355649,0.06967364016736402,0.15748953974895397,1.0,0.3005810092408351,0.6022365385782964,0.08949137017209613
46,Level Punisher,2.688702928870293,0.767581589958159,34.0,1.0,0.7187280334728033,0.04885355648535565,0.07496234309623431,0.15745606694560668,0.9898813276570222,0.9046164460721693,0.10968900569721048,0
47,Nice Meta Winner: 217 players,2.6854393305439332,0.6597322175732218,60.0,1.0,0.6206359832635983,0.03909623430962343,0.12174058577405858,0.21852719665271966,0.8806595192214891,0.7045751079494895,0.08607109527051571,0.12669860685171033
48,"Limited Retaliate 3: 0.05, 20",2.6839330543933055,0.6445690376569038,70.0,1.0,0.6226276150627614,0.02194142259414226,0.11517991631799164,0.2402510460251046,0.9640179846629356,0,0.06139715163982407,0.05381998932812524
49,Second by Rowsam,2.683012552301255,0.8004016736401673,31.0,1.0,0.729907949790795,0.07049372384937239,0.07384100418410042,0.1257573221757322,0.9160086175114223,0.7288815422680119,0.6939978036020762,0.39161813317242516
50,"Alexei: (D,)",2.682845188284519,0.7848535564853556,167.0,1.0,0.7155983263598326,0.06925523012552301,0.07951464435146444,0.1356317991631799,0.9822669895397373,0,0.9882976528177384,0
51,Second by Kluepfel,2.6773221757322174,0.7833305439330543,30.0,1.0,0.7392468619246862,0.0440836820083682,0.06068619246861925,0.15598326359832637,0.9770713303201652,0.3499528639690809,0.6300401861409106,0.10298114472156245
52,Retaliate 3: 0.05,2.6755648535564855,0.6322510460251046,76.0,1.0,0.6198661087866109,0.012384937238493723,0.11138075313807531,0.2563682008368201,1.0,0,0.04060109127809457,0
53,Evolved ANN 5 Noise 05,2.6750627615062763,0.781907949790795,84.0,1.0,0.6684518828451882,0.1134560669456067,0.11310460251046026,0.10498744769874477,0.9398156693148204,0.8506887273780264,0.8363851375732386,0.6739078749145725
54,Second by RichardHufford,2.6736401673640167,0.6548117154811716,121.0,1.0,0.5882175732217574,0.06659414225941422,0.14158995815899583,0.20359832635983263,0.9332405396920621,0.49068032708355513,0.8215177934719496,0.06699720371348256
55,Inverse Punisher,2.6735564853556486,0.6649205020920502,68.0,1.0,0.647581589958159,0.017338912133891216,0.09859414225941422,0.23648535564853554,1.0,0,0.22401827373172548,0
56,First by Shubik,2.6707949790794983,0.7791297071129707,39.0,1.0,0.7227280334728033,0.05640167364016736,0.0697907949790795,0.15107949790794978,1.0,0,0.42909296318859913,0.35897241399071605
57,Forgiver,2.6687866108786613,0.6589623430962344,65.0,1.0,0.6441171548117154,0.014845188284518829,0.09904602510460252,0.24199163179916316,1.0,0.6656126334496725,0.07460942172052286,0
58,"Memory Decay: 0.1, 0.03, -2, 1, Tit For Tat, 15",2.6670292887029285,0.7818912133891214,28.0,1.0,0.7369037656903766,0.04498744769874477,0.05819246861924686,0.1599163179916318,0.9965319883285069,0.6039177997913743,0.7164949245208252,0.013626418093371883
59,"ZD-GTFT-2: 0.25, 0.5",2.6665271966527193,0.8630794979079498,0.0,1.0,0.7788117154811716,0.08426778242677825,0.047782426778242675,0.08913807531380752,1.0,0.15159944074192874,1.0,0.2731591368154161
